X_INDEX;Y_INDEX;GRID005ID;AOI;X_MIN;X_CENTER;X_MAX;Y_MIN;Y_CENTER;Y_MAX;SHAPE_AREA;SHAPE_LENG;INDEX_LABE;PRE_1980;POST_1980;LOW_RISE;MID_RISE;HIGH_RISE;MODERATE;M5;M2_ADOBE;STONE;ALL_YEAR;TYPE;RISE;TOTAL;RC_L;M1_L;M2_L;M5_L;RC_M;M1_M;M2_M;M5_M;RC_H;M1_H;M2_H;M5_H;TOTAL_BLD;POPULATION
558;820;5580820;1;27.900000;27.925000;27.950000;41.000000;41.025000;41.050000;0.002500;0.200000;0;16.659533;249.101779;254.083522;11.545921;0.131870;245.145690;11.077051;1.978045;7.560527;265.761312;523.962098000000000;265.761312;265.761312;234.373768;7.228311;1.891128;10.590315;10.650281;0.328465;0.085936;0.481239;0.121640;0.003752;0.000981;0.005496;265.761312;299
559;820;5590820;1;27.950000;27.975000;28.000000;41.000000;41.025000;41.050000;0.002500;0.200000;0;106.308721;1589.581855;1621.371622;73.677460;0.841494;1564.337040;70.685482;12.622408;48.245647;1695.890576;3343.535506000000000;1695.890577;1695.890577;1495.598667;46.125690;12.067768;67.579499;67.962156;2.096018;0.548377;3.070910;0.776218;0.023939;0.006263;0.035074;1695.890579;1908
544;830;5440830;0;27.200000;27.225000;27.250000;41.500000;41.525000;41.550000;0.002500;0.200000;0;121.645960;95.794432;203.654789;13.588263;0.197340;96.724748;80.204578;38.622240;1.888825;217.440392;432.991958000000000;217.440392;217.440392;90.592452;1.769074;36.173611;75.119652;6.044513;0.118036;2.413577;5.012136;0.087783;0.001714;0.035052;0.072790;217.440390;1992
545;830;5450830;0;27.250000;27.275000;27.300000;41.500000;41.525000;41.550000;0.002500;0.200000;0;11.190765;14.441136;21.964802;3.657225;0.009873;12.999756;9.455756;2.839815;0.336574;25.631901;50.927228000000000;25.631901;25.631901;11.139910;0.288421;2.433529;8.102942;1.854839;0.048023;0.405192;1.349171;0.005007;0.000130;0.001094;0.003642;25.631900;230
546;830;5460830;0;27.300000;27.325000;27.350000;41.500000;41.525000;41.550000;0.002500;0.200000;0;12.823503;19.610814;26.926859;5.500649;0.006808;17.128260;11.965728;2.866056;0.474272;32.434316;64.394361000000000;32.434316;32.434316;14.219823;0.393739;2.379390;9.933907;2.904842;0.080433;0.486065;2.029310;0.003595;0.000100;0.000602;0.002512;32.434318;289
547;830;5470830;0;27.350000;27.375000;27.400000;41.500000;41.525000;41.550000;0.002500;0.200000;0;10.028223;15.336030;21.057317;4.301613;0.005324;13.394626;9.357428;2.241311;0.370890;25.364254;50.357618000000000;25.364254;25.364254;11.120173;0.307912;1.860728;7.768505;2.271642;0.062901;0.380112;1.586959;0.002811;0.000078;0.000470;0.001964;25.364255;226
548;830;5480830;1;27.400000;27.425000;27.450000;41.500000;41.525000;41.550000;0.002500;0.200000;0;31.237855;47.771641;65.593415;13.399498;0.016584;41.724178;29.148329;6.981669;1.155320;79.009496;156.863672000000000;79.009496;79.009496;34.639270;0.959142;5.796158;24.198844;7.076150;0.195935;1.184046;4.943367;0.008758;0.000242;0.001465;0.006118;79.009495;704
549;830;5490830;1;27.450000;27.475000;27.500000;41.500000;41.525000;41.550000;0.002500;0.200000;0;19.612544;29.993206;41.182525;8.412813;0.010412;26.196334;18.300645;4.383409;0.725362;49.605751;98.486139000000000;49.605751;49.605751;21.748108;0.602193;3.639091;15.193133;4.442728;0.123017;0.743398;3.103671;0.005498;0.000152;0.000920;0.003841;49.605750;442
550;830;5500830;1;27.500000;27.525000;27.550000;41.500000;41.525000;41.550000;0.002500;0.200000;0;36.461618;55.674612;76.796899;15.320440;0.018892;47.822714;34.980516;7.956829;1.376172;92.136230;182.896288000000000;92.136230;92.136230;39.860933;1.147060;6.632133;29.156773;7.951975;0.228830;1.323064;5.816570;0.009806;0.000282;0.001632;0.007173;92.136231;817
551;830;5510830;1;27.550000;27.575000;27.600000;41.500000;41.525000;41.550000;0.002500;0.200000;0;190.462273;272.631782;450.982364;12.111691;0.000000;63.170779;386.149196;0.712452;13.061627;463.094055;913.126483000000000;463.094055;463.094055;61.518620;12.720016;0.693819;376.049910;1.652159;0.341612;0.018633;10.099287;0.000000;0.000000;0.000000;0.000000;463.094056;3264
